Song,Artist,Streams,Daily Streams,Genre,Release Year,Peak Position,Weeks on Chart,Lyrics Sentiment,TikTok Virality,Danceability,Acousticness,Energy
Track 7204,Crimson Echo,109492219,1965670,Reggae,2014,97,7,0.29,95,0.87,0.87,0.58
Track 55149,Firefly Symphony,372259069,2285286,Pop,2000,12,77,-0.93,25,0.68,0.87,0.25
Track 21229,Luna Nova,117918459,3085583,Pop,2019,44,8,0.15,12,0.81,0.01,0.86
Track 9344,Urban Rhapsody,409682711,1363344,Rock,1990,9,93,-0.7,94,0.19,0.11,0.41
Track 25410,Samantha Lee,633354864,1418724,Indie,2006,37,66,-0.59,15,0.81,0.91,0.4
Track 10021,Jay Zenith,607631735,4773790,Electronic,1993,97,74,0.46,67,0.32,0.74,0.19
Track 13585,DJ Thunder,7578146,2739658,Synthwave,2022,95,19,0.5,35,0.6,0.05,0.92
Track 68696,Bass Surge,344678849,4165600,Blues,1994,72,43,0.23,90,0.93,0.92,0.8
Track 42333,Retro Resonance,585644056,1390819,Jazz,2015,41,58,-0.1,45,0.14,0.93,0.83
Track 92038,Liam Harper,394763845,4874584,House,1998,59,19,0.92,59,0.79,0.4,0.79
Track 12233,DJ Thunder,456097359,4421013,House,1998,39,96,-0.86,19,0.31,0.76,0.67
Track 99018,Neon Vortex,737077914,476456,Pop,2013,88,7,-0.01,20,0.55,0.53,0.74
Track 36292,Celestial Harmony,524401678,724653,Blues,2017,65,15,0.5,69,0.83,0.8,0.69
Track 40810,Ava & The Ocean,449090470,625216,Electronic,2011,100,92,-0.92,31,0.5,0.65,0.59
Track 11128,Liam Harper,517082638,2559586,Synthwave,2011,72,27,-0.34,62,0.29,0.09,0.17
Track 34934,Samantha Lee,253449446,4071227,Jazz,2002,59,82,0.32,74,0.36,0.89,0.64
Track 78579,Bass Surge,421070154,440013,R&B,2018,29,30,0.37,52,0.32,0.85,0.49
Track 80986,Neon Vortex,159951679,2556369,Indie,1993,73,90,0.67,45,0.62,0.87,0.75
Track 57833,Samantha Lee,397166471,929196,Metal,2008,87,31,0.31,87,0.83,0.32,0.87
Track 75082,Luna Nova,275562707,4946967,Metal,2016,4,4,0.22,67,0.58,0.93,0.48
Track 33416,Jay Zenith,737727809,995895,R&B,2013,42,68,-0.6,40,0.57,0.11,0.24
Track 34877,Retro Resonance,107521548,1604124,R&B,2022,18,73,-0.46,89,0.14,0.34,0.54
Track 37861,EchoSync,552775708,2797263,K-Pop,1993,68,91,-0.79,75,0.64,0.43,0.93
Track 47965,Firefly Symphony,683681231,1399154,Techno,1990,21,57,0.3,29,0.87,0.68,0.11
Track 10610,Crimson Echo,650871626,2854251,Drum & Bass,2008,97,87,0.63,41,0.65,0.82,0.97
Track 12600,ElectroPulse,42220838,3333627,K-Pop,2016,37,55,-0.06,60,0.29,0.23,0.54
Track 32865,Ava & The Ocean,10561839,3733120,Punk,2005,46,36,0.05,10,0.68,0.47,0.35
Track 74753,Shadow Beats,116055843,1403392,Blues,1999,34,7,-0.99,25,0.94,0.59,0.27
Track 72000,Celestial Harmony,661382888,4280505,Country,2009,76,81,-0.85,63,0.11,0.8,0.68
Track 43436,Ava & The Ocean,701984706,4637423,House,2000,86,6,-0.9,58,0.65,0.79,0.22
Track 56627,Sofia Carter,537181054,456684,Lo-Fi,2010,6,67,0.15,63,0.82,0.85,0.33
Track 27093,Bass Surge,235986957,794789,Synthwave,2000,56,6,0.33,70,0.92,0.26,0.6
Track 38887,Luna Nova,44740661,3425535,Techno,2009,81,85,-0.1,71,0.78,0.24,0.28
Track 44365,Crimson Echo,503496925,4374313,Drum & Bass,2013,59,55,-0.51,44,0.8,0.96,0.33
Track 87112,Ava & The Ocean,8397262,3620464,House,2015,82,2,-0.23,65,0.34,0.81,0.17
Track 15910,The Midnight Howl,560388783,4576108,Drum & Bass,2023,90,101,-0.37,27,0.36,0.49,0.47
Track 66441,Firefly Symphony,409570889,2773502,Blues,2012,89,52,0.6,98,0.6,0.52,0.8
Track 2725,Samantha Lee,541897509,1609734,Rock,1990,84,23,-0.73,80,0.37,0.41,0.76
Track 88183,Shadow Beats,617346319,4572062,Trap,2001,12,66,0.53,86,0.17,0.66,0.18
Track 85874,Shadow Beats,151341652,4154907,R&B,2013,83,23,-0.74,26,0.78,0.65,0.3
Track 48794,Samantha Lee,429694074,4872223,Lo-Fi,2010,71,3,0.08,71,0.67,0.09,0.46
Track 3279,The Midnight Howl,326901784,335542,R&B,2019,9,44,0.75,45,0.85,0.11,0.5
Track 36841,Retro Resonance,482619512,4724314,Drum & Bass,2012,84,55,0.76,71,0.12,0.98,0.66
Track 81397,EchoSync,579387828,3564755,K-Pop,2014,74,1,0.95,26,0.71,0.47,0.27
Track 73130,The Midnight Howl,173829800,4614708,Trap,1998,94,35,-0.44,15,0.43,0.12,0.81
Track 62797,Jay Zenith,237232520,2058889,House,2021,91,41,-0.14,64,0.61,0.01,0.55
Track 9605,Bass Surge,9766293,1706008,EDM,2011,15,91,-0.98,55,0.93,0.49,0.35
Track 2006,Horizon Flow,501954356,4721158,Blues,2007,91,46,0.71,57,0.21,0.62,0.45
Track 99094,Bass Surge,600094424,4807662,R&B,1997,7,59,0.4,11,0.88,0.5,0.91
Track 37781,Sofia Carter,511266398,1936786,K-Pop,1998,54,26,0.65,47,0.28,0.21,0.64
Track 32673,Ava & The Ocean,55409488,4972878,Reggae,1992,99,28,0.06,25,0.41,0.24,0.29
Track 39984,Crimson Echo,146001197,4771002,Lo-Fi,2025,87,1,-0.82,59,0.29,0.19,0.26
Track 90132,Horizon Flow,349641552,2458823,Trap,2011,8,58,-0.97,8,0.88,0.3,0.79
Track 33362,The Midnight Howl,251708841,3018200,Electronic,1994,38,75,-0.78,47,0.69,0.04,0.61
Track 35232,Bass Surge,246262627,2103628,Techno,2023,20,21,0.03,52,0.91,0.36,0.72
Track 39244,Samantha Lee,738988501,3533033,Blues,1994,83,85,-0.95,44,0.26,0.45,0.57
Track 44307,Urban Rhapsody,712222517,901242,Techno,2013,30,86,0.37,100,0.98,0.08,0.97
Track 96401,Liam Harper,202674037,4601579,Jazz,2003,14,14,0.76,19,0.38,0.52,0.13
Track 93984,ElectroPulse,142545522,2245700,Country,2016,44,49,0.56,69,0.95,0.72,0.74
Track 15891,Jay Zenith,726700207,1609533,Electronic,2005,14,9,0.66,72,0.51,0.71,0.65
Track 16971,Urban Rhapsody,516741685,2800703,Latin,1997,35,48,0.13,75,0.62,0.17,0.25
Track 62944,Horizon Flow,349035963,3875398,Rock,2003,73,83,-0.78,31,0.13,0.82,0.36
Track 12581,Crimson Echo,618531147,4954243,Country,2018,51,95,-0.47,72,0.78,0.67,0.92
Track 93877,Crimson Echo,287589360,782187,Folk,1993,77,52,0.36,77,0.86,0.37,0.83
Track 50196,Horizon Flow,606779980,2558760,Folk,2017,89,21,-0.01,33,0.22,0.52,0.35
Track 85431,Urban Rhapsody,472390954,1357880,K-Pop,1993,28,13,-0.63,40,0.33,0.41,0.44
Track 23334,Ava & The Ocean,266085513,3935044,Reggae,2024,73,53,-0.75,78,0.64,0.27,0.46
Track 65520,Aurora Soundwave,11986511,3395005,R&B,1993,25,80,0.99,3,0.78,0.5,0.52
Track 40698,Ava & The Ocean,762586354,4394603,Jazz,2018,35,2,0.94,33,0.7,0.49,0.96
Track 18946,Liam Harper,714217337,1708120,Rock,1997,49,65,-0.42,67,0.65,0.52,0.55
Track 23916,Retro Resonance,196647248,1529405,Synthwave,2018,25,86,-0.5,28,0.32,0.98,0.18
Track 10974,Firefly Symphony,174789718,1676054,Indie,2004,74,13,0.41,97,0.88,0.52,0.75
Track 41061,Shadow Beats,710692837,2566601,Indie,2010,89,59,0.74,39,0.64,0.14,0.5
Track 1011,Jay Zenith,196685026,3138809,House,2019,10,65,0.28,52,0.54,0.59,0.28
Track 69022,Crimson Echo,110960973,3753870,Synthwave,2022,7,23,0.39,33,0.7,0.88,0.58
Track 97531,ElectroPulse,719731641,131647,Pop,2000,16,31,0.07,38,0.72,0.31,0.7
Track 8199,Urban Rhapsody,182370266,1581587,R&B,2013,16,16,-0.55,29,0.5,0.23,0.82
Track 60693,Crimson Echo,286257528,3203589,Jazz,1993,13,23,-0.77,66,0.65,0.66,0.95
Track 19098,Neon Vortex,14511636,2106941,Blues,1993,3,50,-0.69,21,0.33,0.79,0.61
Track 8530,Liam Harper,255693293,4394911,Latin,1993,31,57,-0.53,99,0.14,0.94,0.31
Track 11010,Samantha Lee,394746040,1639147,Drum & Bass,1991,86,26,0.86,40,0.73,0.14,0.14
Track 98014,Aurora Soundwave,340905376,11580,Rock,2005,72,21,0.82,6,0.28,0.49,0.2
Track 47211,Jay Zenith,60970319,3775918,Latin,1999,22,36,-0.05,51,0.49,0.35,0.61
Track 37805,Jay Zenith,47641628,381279,Trap,2003,22,5,0.11,31,0.94,0.59,0.79
Track 59639,Jay Zenith,573053546,4510430,Latin,2022,91,25,0.3,58,0.24,0.83,0.74
Track 93452,Horizon Flow,22273962,2510510,Punk,1990,81,16,-0.47,14,0.55,0.91,0.67
Track 8747,Aurora Soundwave,195997593,836690,EDM,2010,57,19,0.92,25,0.4,0.84,0.31
Track 27679,Crimson Echo,208922312,2817181,Synthwave,2007,71,30,0.77,96,0.22,0.67,0.35
Track 59951,Retro Resonance,770466333,3937738,Reggae,2007,38,22,0.53,28,0.19,0.85,0.56
Track 9566,Retro Resonance,490572077,3170454,Latin,2003,84,13,-0.36,28,0.81,0.71,0.7
Track 50605,Neon Vortex,456593784,4285480,Techno,2022,38,30,-0.4,33,0.9,0.04,0.68
Track 24206,Samantha Lee,198262659,3367676,Indie,2023,80,59,-0.59,33,0.19,0.14,0.85
Track 44570,Liam Harper,397394312,2466097,Pop,1999,47,50,0.35,78,0.74,0.04,0.2
Track 29825,Aurora Soundwave,574828162,4265239,Techno,2020,95,86,0.95,33,0.5,0.83,0.29
Track 56251,Ava & The Ocean,179507568,336298,R&B,2025,17,72,0.63,17,0.84,0.15,0.31
Track 75420,Bass Surge,399641883,2318505,Folk,2022,69,79,0.53,39,0.15,0.94,0.91
Track 49652,Luna Nova,185687849,2390380,Country,1994,91,83,-0.03,70,0.78,0.49,0.45
Track 66709,Aurora Soundwave,642799200,1537424,Indie,2017,36,99,0.51,3,0.37,0.86,0.99
Track 68578,Celestial Harmony,784617665,978978,Indie,2013,91,82,-0.47,65,0.81,0.98,0.72
Track 24645,Retro Resonance,644067942,260675,Rock,2023,17,71,0.5,90,0.36,0.08,0.16
Track 86970,Samantha Lee,313486545,3177628,Trap,1994,40,64,0.98,85,0.66,0.57,0.81
Track 83514,Shadow Beats,30367206,550094,Country,2005,59,62,0.84,62,0.53,0.91,0.43
Track 85117,Retro Resonance,420946047,386509,Hip-Hop,2021,80,57,-0.64,64,0.61,0.56,0.47
Track 13248,Jay Zenith,712393762,1398718,Pop,2020,98,77,-0.8,6,0.75,0.91,0.97
Track 88898,ElectroPulse,287904441,3858381,Lo-Fi,2009,45,46,0.33,46,0.97,0.54,0.18
Track 49429,Ava & The Ocean,504836289,2004568,Pop,1990,47,11,-0.19,77,0.4,0.34,0.51
Track 9375,The Midnight Howl,145445480,4471493,K-Pop,1996,11,88,0.98,93,0.64,0.25,0.36
Track 10903,Aurora Soundwave,729258595,4543881,Blues,2008,28,84,0.74,97,0.25,0.07,0.5
Track 90087,Luna Nova,153318858,1957710,Reggae,2010,64,28,0.82,81,0.54,0.17,0.76
Track 58850,Ava & The Ocean,623916389,2964988,Drum & Bass,1996,53,48,-0.71,8,0.34,0.42,0.34
Track 98314,Neon Vortex,584138374,149299,Hip-Hop,2025,9,96,0.84,45,0.6,0.73,0.98
Track 19576,The Midnight Howl,783800461,2553611,Blues,2016,4,33,-0.59,5,0.12,0.92,0.18
Track 60229,Neon Vortex,87152805,2180480,Hip-Hop,2002,36,88,0.25,97,0.77,0.03,0.1
Track 73244,Aurora Soundwave,115769593,3418972,Rock,2019,56,62,-0.24,30,0.37,0.54,0.89
Track 95311,The Midnight Howl,714517617,210064,K-Pop,1991,25,65,0.61,47,0.34,0.65,0.1
Track 32384,The Midnight Howl,153173060,2982621,K-Pop,1995,52,65,0.0,45,0.14,0.96,0.95
Track 1598,Shadow Beats,144063824,3343844,K-Pop,2006,91,38,-0.43,97,0.57,0.64,0.2
Track 52019,Firefly Symphony,139587848,1874937,Lo-Fi,1995,42,21,-0.6,57,0.55,0.19,0.5
Track 93536,Aurora Soundwave,464953085,280068,Hip-Hop,2023,14,14,-0.98,57,0.92,0.19,0.16
Track 5215,Ava & The Ocean,519982924,579527,Synthwave,2014,68,48,0.59,29,0.8,0.4,0.1
Track 77079,EchoSync,111306988,4198141,Reggae,2025,38,48,0.96,51,0.11,0.16,0.98
Track 47673,Firefly Symphony,4878346,1882008,Pop,2025,45,21,-0.6,90,0.82,0.53,0.93
Track 32547,Aurora Soundwave,593433945,3081967,Electronic,2015,91,42,-0.9,75,0.36,0.46,0.63
Track 25885,Urban Rhapsody,432494197,764229,Hip-Hop,2015,23,93,-0.14,45,0.13,0.88,0.31
Track 42532,ElectroPulse,728347817,4809192,Reggae,2021,87,102,0.98,65,0.78,0.06,0.39
Track 58588,Horizon Flow,724302111,2165072,Country,2013,40,18,0.6,72,0.17,0.09,0.95
Track 28417,Sofia Carter,737266956,1004758,Reggae,1998,74,20,0.32,80,0.44,0.39,0.17
Track 26836,EchoSync,158697685,3668861,Electronic,2012,36,32,0.84,47,0.77,0.76,0.93
Track 31126,Urban Rhapsody,105570374,1819878,Reggae,2013,57,76,-0.59,40,0.34,0.7,0.82
Track 71007,Horizon Flow,327522032,750737,Lo-Fi,2025,30,49,-0.92,41,0.67,0.81,0.72
Track 91097,Aurora Soundwave,97649545,1235370,K-Pop,2011,65,96,0.64,1,0.89,0.81,0.36
Track 45013,The Midnight Howl,112264832,945827,Pop,2003,35,17,-0.52,72,0.86,0.66,0.23
Track 54029,Liam Harper,715474319,2990568,Synthwave,1995,16,38,-0.63,71,0.94,0.27,0.42
Track 73153,Urban Rhapsody,128446048,1169773,Indie,2025,49,32,-0.19,93,0.33,0.35,0.51
Track 6290,EchoSync,679696220,2481584,Jazz,2015,3,101,0.51,96,0.41,0.94,0.52
Track 2481,Ava & The Ocean,695845836,4086231,Blues,2014,49,23,-0.67,9,0.94,0.65,0.84
Track 86703,Ava & The Ocean,277746906,2425549,Drum & Bass,1993,58,69,0.12,76,0.67,0.1,0.37
Track 84674,Ava & The Ocean,444861256,1647312,Trap,1995,19,61,0.22,93,0.47,0.43,0.68
Track 23066,Aurora Soundwave,218206175,3155112,Trap,2025,97,47,0.59,20,0.22,0.68,0.2
Track 31666,Retro Resonance,604370050,480035,Folk,2021,60,57,-0.69,38,0.27,0.12,0.32
Track 14307,Jay Zenith,341400322,2303745,Blues,2012,98,100,-0.36,38,0.95,0.89,0.5
Track 85328,Firefly Symphony,263313094,3497579,Reggae,2009,55,7,0.26,79,0.74,0.77,0.85
Track 65045,Urban Rhapsody,45871706,2649359,Lo-Fi,2020,42,42,-0.74,44,0.37,0.04,0.68
Track 93224,ElectroPulse,635805999,1201988,Punk,2020,1,19,0.26,12,0.96,0.31,0.74
Track 41658,Shadow Beats,538365596,1364699,Indie,1999,17,72,0.95,99,0.57,0.34,0.88
Track 85864,Sofia Carter,174145238,216291,Reggae,2003,75,99,-0.01,36,0.85,0.93,0.7
Track 98782,ElectroPulse,757661590,422463,R&B,2020,78,6,-0.15,40,0.64,0.58,0.99
Track 77072,Firefly Symphony,52755548,4529287,Trap,1991,72,70,0.25,41,0.26,0.69,0.99
Track 64021,Samantha Lee,309343086,3412145,Pop,2017,85,12,0.8,8,0.99,0.06,0.19
Track 18997,ElectroPulse,508997944,3696730,Indie,2002,16,32,0.66,86,0.57,0.81,0.97
Track 32132,Luna Nova,209254662,2457982,Folk,2025,98,5,0.78,22,0.75,0.09,0.72
Track 37002,ElectroPulse,151762258,2997002,Lo-Fi,1996,91,4,-0.61,86,0.88,0.34,0.46
Track 50446,Retro Resonance,401779042,96343,R&B,2000,4,6,0.99,7,0.25,0.65,0.79
Track 72690,DJ Thunder,725350723,1303269,Jazz,2009,18,100,-0.11,6,0.71,0.91,0.37
Track 10386,Liam Harper,271821548,1937431,Country,1997,28,79,-0.96,0,0.16,0.72,0.59
Track 5850,Liam Harper,61946661,102133,Folk,1995,74,47,-0.73,36,0.3,0.14,0.52
Track 16109,Liam Harper,118611320,695562,Reggae,2009,67,31,0.15,49,0.28,0.56,0.17
Track 83474,EchoSync,244737552,3591485,Indie,2019,94,44,-0.1,68,0.27,0.75,0.48
Track 96401,Retro Resonance,310724208,3578311,Latin,1996,30,28,-0.64,4,0.49,0.8,0.94
Track 75905,Celestial Harmony,520838526,3215187,Jazz,1999,32,3,-0.67,54,0.83,0.49,0.82
Track 31102,Retro Resonance,742344612,4124761,Pop,2003,83,57,-0.98,36,0.92,0.45,0.71
Track 37713,DJ Thunder,677424034,3583593,Drum & Bass,1995,42,1,0.01,3,0.87,0.46,0.96
Track 23004,Horizon Flow,657776873,321878,Folk,2006,40,78,-0.03,87,0.22,0.82,0.47
Track 55158,Urban Rhapsody,248747006,3657799,Drum & Bass,2007,86,78,-0.02,97,0.87,0.46,0.21
Track 9449,Urban Rhapsody,222811295,1497169,Techno,2002,88,6,0.52,3,0.29,0.07,0.12
Track 31373,Bass Surge,303081597,4781448,Punk,1994,77,45,-0.04,3,0.15,0.45,0.1
Track 55524,The Midnight Howl,702705894,2351628,House,2014,30,2,-0.88,32,0.92,0.35,0.48
Track 28606,Urban Rhapsody,374167226,1091033,Latin,2010,92,46,0.92,40,0.34,0.95,0.72
Track 4464,Ava & The Ocean,514074101,3554518,Latin,2009,65,82,-0.52,37,0.35,0.81,0.78
Track 32707,Neon Vortex,797047463,1302933,Indie,2011,91,47,0.45,62,0.75,0.13,0.75
Track 30461,The Midnight Howl,420286541,1000256,Latin,2023,21,12,-0.44,61,0.87,0.56,0.44
Track 67284,ElectroPulse,300774452,941655,Indie,2008,91,90,0.01,26,0.57,0.22,0.49
Track 30111,Bass Surge,12356278,2724926,Lo-Fi,2013,26,81,-0.82,84,0.7,0.7,0.17
Track 96083,DJ Thunder,263461479,3985454,House,2024,94,68,0.62,2,0.51,0.67,0.7
Track 70545,Aurora Soundwave,719313587,2740231,Jazz,2016,40,25,-0.39,7,0.5,0.63,0.84
Track 79205,Liam Harper,663941328,1554576,Techno,2001,11,33,-0.94,21,0.21,0.18,0.48
Track 85826,ElectroPulse,799842056,3237695,Country,2002,65,33,0.48,19,0.55,0.62,0.7
Track 89469,Neon Vortex,101794319,3792538,Lo-Fi,2023,56,59,-0.51,34,0.55,0.91,0.59
Track 45309,Crimson Echo,213528146,2197436,House,2023,71,53,-0.47,63,0.86,0.52,0.93
Track 14701,Jay Zenith,170444776,3754707,Blues,2014,60,98,-0.34,66,0.63,0.29,0.17
Track 97074,Celestial Harmony,619324484,638150,R&B,1992,22,99,-0.35,33,0.56,0.12,0.85
Track 37132,Neon Vortex,315187198,745025,EDM,2021,28,63,-0.41,52,0.32,0.52,0.12
Track 66624,Jay Zenith,433981763,3064306,Electronic,2003,86,18,-0.28,5,0.21,0.14,0.97
Track 98262,Bass Surge,542067948,4260803,EDM,2023,71,64,-0.42,99,0.12,0.22,0.53
Track 36377,Crimson Echo,256201107,4347132,K-Pop,2004,21,77,0.57,100,0.27,0.81,0.13
Track 25257,Bass Surge,126423150,2877778,Blues,2016,77,3,-0.42,33,0.5,0.97,0.88
Track 30890,The Midnight Howl,494480107,2408695,Folk,2016,15,29,0.33,65,0.95,0.75,0.27
Track 75399,Neon Vortex,214236549,2680465,Hip-Hop,2011,13,69,0.38,49,0.85,0.37,0.45
Track 16968,The Midnight Howl,110472420,265766,House,2025,72,82,-0.26,70,0.23,0.81,0.49
